HUD Property ID,HUD Subsidy ID,NHPD Property ID,NHPD Subsidy ID,Subsidy Status,Subsidy Name,Subsidy Subname,Start Date,End Date,Assisted Units,Property Name,Street Address,City,State,Zip Code,Longitude,Latitude,Owner Name,Owner Type,Manager Name,Manager Type,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,Target Population,Earliest Construction Date,Latest Construction Date,Rent to FMR Ratio,Known Total Units,Renewal Type Name,Inactive Status Description,Construction Type,Unpaid Principal Balance,Renewal Name,Renewal ID,SOA Code
800243271,VAA2011827,1095225,66405eaa-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2011,01/01/2041,60,COLONNADES AT ROCKTOWN II,351 N MASON ST,HARRISONBURG,VA,22802,-78.865867,38.453323,COLONNADE REALTY PARTNERS LP,For Profit,,,,,,Family,,,,60,,,New Construction,585672,,,
,VAA2013024,1107004,33c33208-d868-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2013,01/01/2043,100,OAKMEADE,183 AIRPORT PL,HENRICO,VA,23075,-77.316833,37.538177,OAKMEADE ASSOC LP,,,,,,,Family,,,,100,,,Acquisition and Rehab,,,,
,VAA1996045,1094818,20449180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1996,01/01/2026,144,DULLES CENTER I,2410 LITTLE CURRENT DR,HERNDON,VA,20171,-77.421127,38.956508,DULLES TOWN CENTER ASSOC,For Profit,,,,72,72,Family,,,,144,,,New Construction,,,,
,VAA1997045,1094818,24449180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1997,01/01/2027,128,DULLES CENTER II,2410 LITTLE CURRENT DR,HERNDON,VA,20171,-77.421127,38.956508,DULLES TOWN CENTER II ASSOC LP,For Profit,,,,64,64,Family,,,,128,,,New Construction,,,,
,VAA1998115,1094994,d28c8d86-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1998,01/01/2028,136,JEFFERSON COMMONS II,2452 MASONS FERRY DR,HERNDON,VA,20171,-77.407745,38.94667,KETTLER MGMT COMPANY,For Profit,,,,102,34,,,,,136,,,New Construction,,,,
800021795,VAA1989050,1095231,7e405eaa-d1ff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1989,01/01/2004,100,FAIR OAKS,400 AIRPORT CT,HIGHLAND SPRINGS,VA,23075,-77.314796,37.540252,HERCULES REAL ESTATE SERVICES INC,,,,,,,,,,,100,,Non-programmatic,Acquisition and Rehab,,,,
,VAA1991020,1118542,f0a59e74-d1ff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1991,01/01/2006,40,BRIARLEIGH COURT,1338 N MAIN ST,HILLSVILLE,VA,24343,-80.741134,36.77399,LIC HILLSVILLE LP,,,,,,,,,,,40,,Non-programmatic,New Construction,,,,
,VAA2006781,1110714,2f584456-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,24,KEYSVILLE MANOR,150 MANOR DR,KEYSVILLE,VA,23947,-78.473762,37.03078,TM ASSOC MGMT INC,,,,12,12,0,Family,,,,24,,,New Construction,,,,
,VAA2012010,1112864,56cf967a-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/2012,01/01/2042,40,AUTUMNWOOD HEIGHTS,28 POWELL LN,KEYSVILLE,VA,23947,-78.434822,36.993015,NEW AUTUMNWOOD HEIGHTS APTS LLC,For Profit,,,40,,,Elderly or disabled,,,,40,,,New Construction,80945,,,
,VAA2011822,1109769,3ca59e74-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2011,01/01/2041,20,INDIAN CREEK,501 SOUTHPORT LN,KILMARNOCK,VA,22482,-76.379951,37.70409,TM ASSOC MGMT INC,,,,4,16,,Family,,,,20,,,Both New Construction and Acquisition and Rehab,97765,,,
,VAA2003590,1120266,4066edeb-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2003,01/01/2033,24,KILMARNOCK VILLAGE,89 SCHOOL ST,KILMARNOCK,VA,22482,-76.382583,37.711292,TM ASSOC MGMT INC,,,,8,16,0,Family,,,,24,,,Acquisition and Rehab,,,,
,VAA2006743,1095852,4fc8f2e5-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,24,ANGELWOOD I,10255 FAITH DR,KING GEORGE,VA,22485,-77.17073,38.266929,PROJECT FAITH PHASE I DEVELOPMENT LP,,,,,,,Family,,,,24,,,New Construction,,,,
,VAA2013004,1096033,5acf28d4-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2013,01/01/2043,24,ANGEL COURT,10267 FAITH DR,KING GEORGE,VA,22485,-77.170562,38.266841,PROJECT FAITH,Non-Profit,,,,,,Family,,,,24,,,New Construction,295500,,,
,VAA2009902,1114056,769f4968-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2009,01/01/2039,48,LEBANON SQUARE,176 ROGERS ST,LEBANON,VA,24266,-82.077072,36.904159,LEBANON SQUARE VIRGINIA LP,,,,,,,Family,,,,48,,,Acquisition and Rehab,,,,
,VAA1996055,1094822,38449180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1996,01/01/2026,150,EVANS RIDGE,428 EVANS RIDGE TER NE,LEESBURG,VA,20176,-77.532829,39.106819,EVANS RIDGE LP,For Profit,,,,90,60,Family,,,,150,,,New Construction,,,,
,VAA1998280,1095170,81436b20-e168-e711-806a-005056ba3ab9,Inactive,LIHTC,4% Tax Credit,01/01/1998,01/01/2028,248,FIELDS OF LEESBURG II,75 PLAZA ST SE,LEESBURG,VA,20175,-77.553047,39.104801,KETTLER MGMT COMPANY,,,,,,,Family,,,,248,,Missing from Subsequent Updates,Acquisition and Rehab,,,,
,VAA1999395,1111295,d9c8f5df-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/1999,01/01/2029,38,WINDEMERE,125 WALLACE ST,LEXINGTON,VA,24450,-79.446914,37.775382,WINDEMERE APTS LIMITED PARTNERSHIP,,,,38,0,0,Elderly or disabled,,,,38,,,Acquisition and Rehab,,,,
,VAA2002523,1095132,93a3e5f1-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2002,01/01/2032,248,FIELDS AT LORTON STATION,7800 LEWIS CHAPEL CIR,LORTON,VA,22079,-77.216743,38.704864,KETTLER MGMT COMPANY,,,,0,194,54,Family,,,,248,,,New Construction,,,,
800021810,VAA2012060,1106481,ecbed466-d768-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2012,01/01/2042,61,EPWORTH MANOR,112 CAMMACK ST,LOUISA,VA,23093,-78.007698,38.026672,LOUISA UNITED METHODIST HOUSING LP,,,,61,0,0,Elderly or disabled,,,,61,,,Acquisition and Rehab,,,,
,VAA2014019,1114149,0fb9435c-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2014,01/01/2044,64,LOVINGSTON RIDGE APARTMENTS,9 RIDGE DR,LOVINGSTON,VA,22949,-78.875267,37.759796,LOVINGSTON RIDGE VA LLC,,,,32,32,0,Family,,,,64,,,New Construction,,,,
,VAA1990150,1119814,b8a59e74-d1ff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1990,01/01/2005,44,RUGBY SQUARE II,101 MADISON LN,LURAY,VA,22835,-78.441619,38.662189,PROPERTY MGMT CORP OF VA,,,,,,,,,,,44,,Non-programmatic,New Construction,,,,
,VAA2007811,1094942,517415c2-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2007,01/01/2037,150,WESLEY,1201 LONG MEADOWS DR,LYNCHBURG,VA,24502,-79.198921,37.372882,LYNCHBURG UNITED METHODIST HOUSING LP,,,,114,36,0,Elderly or disabled,,,,150,,,Acquisition and Rehab,,,,
800021943,VAA2012120,1094353,11f3c556-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2012,01/01/2042,74,LYNCHBURG HIGH,1301 PARK AVE,LYNCHBURG,VA,24501,-79.153823,37.410617,LYNCHBURG HIGH LLC,,LCF and Associates,For Profit,38,17,19,Family,,,,74,,,Acquisition and Rehab,643264,,,
,VAA2010923,1106272,bc22ec3c-d768-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2010,01/01/2040,41,KEMPER LOFTS,1401 KEMPER ST,LYNCHBURG,VA,24501,-79.153434,37.402477,KEMPER LOFTS LLC,,,,,,,Family,,,,41,,,New Construction,,,,
,VAA2012085,1095473,ad974eb6-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2012,01/01/2042,24,HILLTOP HOMES,2005 GRACE ST,LYNCHBURG,VA,24504,-79.139717,37.402507,HILLTOP HOMES LLC,,,,,10,14,Family,,,,24,,,Acquisition and Rehab,246373,,,
,VAA1995100,1094762,96d0967a-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1995,01/01/2025,13,MIRIAM'S HOUSE,409 MAGNOLIA ST,LYNCHBURG,VA,24503,-79.166748,37.435207,MIRIAMS HOUSE LP,Non-Profit,,,13,,,Family,,,,13,,,New Construction,,,,
800021759,VAA2004611,1094344,ff004f62-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2004,01/01/2034,28,COLLEGE HILL HOMES,517 MADISON ST,LYNCHBURG,VA,24504,-79.148925,37.415851,COLLEGE HILL HOMES LP,,,,2,17,9,Family,,,,28,,,Acquisition and Rehab,,,,
,VAA2002250,1094689,497e7e92-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2002,01/01/2032,56,TINBRIDGE MANOR,701 HOLLINS ST,LYNCHBURG,VA,24504,-79.155181,37.41996,TINBRIGE MANOR LP,For Profit,,,47,9,,Elderly or disabled,,,,56,,,Acquisition and Rehab,,,,
800022070,VAA2014031,1094400,1b3d4174-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2014,01/01/2044,46,SHALOM,710 FEDERAL ST,LYNCHBURG,VA,24504,-79.149017,37.413436,SHALOM APTS 702 LLC,,,,,,,Family,,,,46,,,Acquisition and Rehab,,,,
800250258,VAA2002566,1095280,3b5e6e02-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2002,01/01/2032,76,VISTAS AT DREAMING CREEK,7612 TIMBERLAKE RD,LYNCHBURG,VA,24502,-79.220863,37.355678,VISTAS LP,,,,16,144,16,Family,,,,176,,,New Construction,,,,
,VAA1995165,1094796,ac439180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1995,01/01/2025,124,SOLDIERS RIDGE,11209 SOLDIERS RIDGE CIR,MANASSAS,VA,20109,-77.531021,38.78936,SOLDIER'S RIDGE PARTNERS LP,For Profit,,,,124,,Family,,,,124,,,New Construction,,,,
,VAA2005205,1094803,737f7e92-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/2005,01/01/2035,124,REGENCY PLACE,9973 SHALLOW CREEK LOOP,MANASSAS,VA,20109,-77.532913,38.740978,MCCORMACK BARON SALAZAR INC / MBA URBAN DEVELOPMENT CO,For Profit,,,,,,Family,,,,124,,,New Construction,,,,
,VAA2001180,1095256,e68d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2001,01/01/2031,48,RIDGE VIEW,1130 RIDGE RD,MARTINSVILLE,VA,24112,-79.845077,36.693336,RIDGE VIEW LP,For Profit,,,,24,24,Family,,,,48,,,New Construction,,,,
,VAA1995149,1119624,33c8f2e5-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/1995,01/01/2025,38,MARTINS LANDING PHASE II,1151 E CHURCH ST,MARTINSVILLE,VA,24112,-79.841743,36.691905,MARTINSVILLE HOUSING LP,,,,36,2,0,Elderly or disabled,,,,38,,,New Construction,,,,
,VAA2009903,1095125,5c1b4c50-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2009,01/01/2039,20,LEVIS HILL HOUSE,1000 W WASHINGTON ST,MIDDLEBURG,VA,20117,-77.747146,38.967227,TM ASSOC MGMT INC,,,,,,,Elderly or disabled,,,,20,,,New Construction,,,,
,VAA1997227,1094734,ed1210c8-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/1997,01/01/2027,144,MALLARD COVE I,4123 MALLARD LANDING CIR,MIDLOTHIAN,VA,23112,-77.590156,37.434295,AMURCON REALTY CO,,,,,,,Family,,,,144,,,New Construction,,,,
,VAA2000427,1094734,77604280-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2000,01/01/2030,108,MALLARD COVE II,4123 MALLARD LANDING CIR,MIDLOTHIAN,VA,23112,-77.590156,37.434295,AMURCON REALTY CO,,,,0,51,57,Family,,,,108,,,New Construction,,,,
,VAA1989105,1121086,c4ae6e9e-d1ff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1989,01/01/2004,40,NEW MARKET NORTH II,9091 N CONGRESS ST,NEW MARKET,VA,22844,-78.667358,38.655216,PROPERTY MGMT CORP OF VA,,,,,,,,,,,40,,Non-programmatic,New Construction,,,,
,VAA2001190,1095260,f68d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2001,01/01/2031,38,SHENANDOAH COMMONS (NEW MARKET),9157 N CONGRESS ST,NEW MARKET,VA,22844,-78.668426,38.653518,SHENANDOAH VALLEY ASSOC LP,For Profit,,,38,,,Elderly or disabled,,,,38,,,New Construction,,,,
,VAA2001065,1095224,328d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2001,01/01/2031,38,CONGRESS STREET,9171 N CONGRESS ST,NEW MARKET,VA,22844,-78.668762,38.652954,CONGRESS STREET ASSOC LP,For Profit,,,4,26,8,Family,,,,38,,,New Construction,,,,
800244925,VAA2012170,1095481,d5974eb6-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2012,01/01/2042,30,ORCUTT TOWNHOMES III,1008 37TH ST,NEWPORT NEWS,VA,23607,-76.415695,36.992851,ORCUTT TOWNHOMES III LP,For Profit,,,,10,20,Family,,,,30,,,New Construction,272060,,,
,VAA1996125,1094847,ac449180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1996,01/01/2026,56,RIVER TRACE,101 RIVER TRACE WAY,NEWPORT NEWS,VA,23602,-76.524803,37.11956,EASTWOOD VILLAS LP,Non-Profit,,,16,39,1,Family,,,,56,,,Both New Construction and Acquisition and Rehab,,,,
800022136,VAA2004639,1094426,39436b20-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2004,01/01/2034,200,NEWPORT HARBOUR,2325 MADISON AVE,NEWPORT NEWS,VA,23607,-76.417884,36.981334,SILVER STREET DEVELOPMENT CORP,,,,16,66,118,Family,,,,200,,,Acquisition and Rehab,,,,
,VAA2012145,1095479,cd974eb6-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2012,01/01/2042,54,NOLAND GREEN,2600 WARWICK BLVD,NEWPORT NEWS,VA,23607,-76.426689,36.979995,NOLAND GREEN LLC,For Profit,,,11,32,11,Family,,,,60,,,New Construction,763948,,,
,VAA1998020,1094908,068c8d86-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1998,01/01/2028,74,ARBORETUM PLACE,400 ARBORETUM WAY,NEWPORT NEWS,VA,23602,-76.50772,37.109817,WFP NEWPORT II LP,For Profit,,,36,38,,Family,,,,184,,,New Construction,,,,
800244322,VAA2005755,1094781,6e9f4968-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2005,01/01/2035,182,KING'S RIDGE,401 JESTER CT,NEWPORT NEWS,VA,23608,-76.532646,37.159023,NATIONAL HOUSING PARTNERS LP,,,,32,94,56,Family,,,,182,,,New Construction,,,,
800245391,VAA1997323,1108190,6a91430f-d968-e711-806a-005056ba3ab9,Inactive,LIHTC,9% Tax Credit,01/01/1997,01/01/2027,274,AUBURN POINTE,500 CATINA WAY,NEWPORT NEWS,VA,23608,-76.52658,37.133358,DENBIGH CROSSING LP,,,,,,,Family,,,,274,,Missing from Subsequent Updates,Acquisition and Rehab,,,,
,VAA2014024,1105072,0dcd7883-d668-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2014,01/01/2044,32,PAVILION,550 PAVILION PL,NEWPORT NEWS,VA,23606,-76.479309,37.078147,PAVILION INVESTORS LP,,,,,,,Family,,,,32,,,Acquisition and Rehab,,,,
,VAA2010040,1095249,0a415eaa-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2010,01/01/2040,32,DRESDEN,619 DRESDEN DR,NEWPORT NEWS,VA,23601,-76.461456,37.056324,DRESDEN LLC,,,,,,,Elderly or disabled,,,,32,,,Acquisition and Rehab,200000,,,
,VAA2006802,1094894,27a3e5f1-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,202,SEVEN OAKS,753 36TH ST,NEWPORT NEWS,VA,23607,-76.41983,36.990875,SO LP,,,,10,192,0,Family,,,,202,,,Acquisition and Rehab,,,,
,VAA2005782,1094708,2c9b6608-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2005,01/01/2035,108,WESTOVER STATION,806 ROAM CT,NEWPORT NEWS,VA,23605,-76.435768,37.017234,WESTOVER STATION ASSOC LP,,,,36,72,0,Family,,,,108,,,New Construction,,,,
,VAA2001030,1095214,068d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/2001,01/01/2031,296,AUTUMN LAKES,880 HIDDEN GLEN CT,NEWPORT NEWS,VA,23608,-76.549125,37.135032,AUTUMN LAKES ASSOC LP,For Profit,,,52,216,28,Family,,,,296,,,Acquisition and Rehab,,,,
,VAA2005010,1094831,ef7f7e92-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2005,01/01/2035,50,ASHE MANOR,900 36TH ST,NEWPORT NEWS,VA,23607,-76.416915,36.99168,ORCUTT SENIOR HOUSING LP,For Profit,,,42,8,,Elderly or disabled,,,,50,,,New Construction,,,,
,VAA1991005,1094686,d8a59e74-d1ff-e611-8115-74d435edc0c2,Inconclusive,LIHTC,9% Tax Credit,01/01/1991,01/01/2021,4,1233 MALTBY AVE,1233 MALTBY AVE,NORFOLK,VA,23504,-76.267944,36.856113,,,,,,,,,,,,4,,End Date Passed,New Construction,,,,
,VAA2006010,1094835,0f807e92-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,50,BOWLING GREEN IV,1429 GODFREY AVE,NORFOLK,VA,23504,-76.252944,36.859107,THE COMMUNITY BUILDERS INC,For Profit,,,10,19,21,Family,,,,50,,,New Construction,649900,,,
,VAA2004622,1094709,335e6e02-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2004,01/01/2034,100,FRANKLIN ARMS,2500 E PRINCESS ANNE RD,NORFOLK,VA,23504,-76.260734,36.854656,NORFOLK ONE LP,,,,88,12,0,Elderly or disabled,,,,100,,,New Construction,,,,
,VAA1994010,1094753,0ed0967a-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1994,01/01/2024,85,ARCHERS GREEN,261 SUBURBAN PKWY,NORFOLK,VA,23505,-76.268524,36.910369,ARCHERS GREEN II LLC,,,,,,,Family,,,,212,,,Both New Construction and Acquisition and Rehab,,,,
,VAA2006065,1094835,13807e92-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,38,MARSHALL MANOR IV,2814 E PRINCESS ANNE RD,NORFOLK,VA,23504,-76.254928,36.856395,THE COMMUNITY BUILDERS INC,For Profit,,,,24,14,Family,,,,38,,,New Construction,562532,,,
,VAA2000160,1095176,428c878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/2000,01/01/2030,110,RIVERPOINT,452 PAINTER ST,NORFOLK,VA,23505,-76.283638,36.90063,RIVERPOINT LC,For Profit,,,56,164,,Family,,,,220,,,Acquisition and Rehab,,,,
,VAA1998015,1094906,fe8b8d86-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1998,01/01/2028,308,ARBOR POINTE,502 GRANTHAM RD,NORFOLK,VA,23505,-76.282966,36.916484,WFP NEWPORT II LP,For Profit,,,40,268,,Family,,,,308,,,Acquisition and Rehab,,,,
800238513,VAA2015012,1104500,e679a44d-d668-e711-806a-005056ba3ab9,Inactive,LIHTC,4% Tax Credit,01/01/2015,01/01/2045,100,JAMES RIVER FLATS @ NEWPORT,5400 GREENPLAIN RD,NORFOLK,VA,23502,-76.543655,37.16558,SILVER STREET DEVELOPMENT CORP,,,,,,,Family,,,,100,,Missing from Subsequent Updates,Acquisition and Rehab,,,,
,VAA2001050,1095220,228d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2001,01/01/2031,64,BERKLEY SQUARE,7139 SEWELLS POINT RD,NORFOLK,VA,23513,-76.245155,36.908603,BERKLEY SQUARE LP,For Profit,,,,48,16,Family,,,,64,,,Acquisition and Rehab,,,,
,VAA1999240,1095118,428f8d86-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1999,01/01/2029,192,SOUTHPOINTE LANDING,2809 CAMBERWELL RD,NORTH CHESTERFIELD,VA,23234,-77.444854,37.443649,CHIPPENHAM APTS LP,For Profit,,,,160,32,Family,,,,192,,,Acquisition and Rehab,,,,
,VAA2006779,1094640,84056a2c-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2006,01/01/2036,122,IVY WALK II,4800 BURNT OAK DR,NORTH CHESTERFIELD,VA,23234,-77.488563,37.454067,MCCORMACK BARON SALAZAR INC / MBA URBAN DEVELOPMENT CO,,,,0,56,66,Family,,,,122,,,New Construction,,,,
,VAA2007791,1094640,c08137a4-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2007,01/01/2037,126,IVY WALK I,4800 BURNT OAK DR,NORTH CHESTERFIELD,VA,23234,-77.488563,37.454067,MCCORMACK BARON SALAZAR INC / MBA URBAN DEVELOPMENT CO,,,,70,56,0,Family,,,,126,,,New Construction,,,,
,VAA2006801,1114351,a1be2faa-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,30,SENTRY WOODS DUPLEXES,5952 SENTRY HILL CT,NORTH DINWIDDIE,VA,23803,-77.479301,37.190696,DINWIDDIE-SENTRY WOODS LLC,,,,15,15,0,Family,,,,30,,,New Construction,,,,
,VAA2010929,1111707,f51210c8-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2010,01/01/2040,40,NORTON GREEN,380 14TH ST NW,NORTON,VA,24273,-82.64067,36.931804,NORTON GREEN LLC,,,,40,0,0,Elderly or disabled,,,,40,,,New Construction,,,,
,VAA2007020,1113744,5f01d021-e268-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2007,01/01/2037,40,ONANCOCK SQUARE,173 JACOB ST,ONANCOCK,VA,23417,-75.734817,37.71099,ONANCOCK SQUARE LP,,,,16,24,0,Family,,,,40,,,Both New Construction and Acquisition and Rehab,,,,
,VAA2009915,1114052,1b2e5786-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2009,01/01/2039,40,SPICER'S MILL,128 PARK ST,ORANGE,VA,22960,-78.119468,38.254516,ORANGE-SPICER'S MILL LLC,,,,,,,Family,,,,40,,,Acquisition and Rehab,,,,
,VAA2001040,1095218,168d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/2001,01/01/2031,36,BELLEVIEW SENIORS,222 BELLEVIEW AVE,ORANGE,VA,22960,-78.114662,38.248584,BELLEVIEW LP,For Profit,,,30,6,,Elderly or disabled,,,,36,,,Acquisition and Rehab,,,,
,VAA2001045,1095218,1a8d878c-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/2001,01/01/2031,12,BELLEVIEW APARTMENTS,222 BELLEVIEW AVE,ORANGE,VA,22960,-78.114662,38.248584,BELLEVIEW LP,For Profit,,,,12,,,,,,12,,,Acquisition and Rehab,,,,
,VAA2007005,1094947,ae347698-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/2007,01/01/2037,90,ACCOMACK MANOR,26463 METOMPKIN RD,PARKSLEY,VA,23421,-75.6109,37.762359,ACCOMACK MANOR LLC,For Profit,,,76,14,,Elderly or disabled,,,,90,,,New Construction,670880,,,
,VAA1999195,1095102,ea8e8d86-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1999,01/01/2029,30,ORCHARD GROVE,434 ORCHARD GROVE LN,PEARISBURG,VA,24134,-80.726333,37.333225,COMMUNITY HOUSING PARTNERS,Non-Profit,,,,10,20,Family,,,,30,,,New Construction,,,,
,VAA1995085,1094783,04439180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1995,01/01/2025,40,LEE TERRACE,1750 COMBS RD,PENNINGTON GAP,VA,24277,-83.047805,36.749172,LEE TERRACE LP,For Profit,,,39,1,,Elderly or disabled,,,,40,,,New Construction,,,,
,VAA2006783,1094870,c3666f26-e168-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2006,01/01/2036,168,LIEUTENANT'S RUN,102 LIEUTENANTS RUN DR,PETERSBURG,VA,23805,-77.402687,37.205848,LIEUTENANT'S RUN LP,,,,,,,Family,,,,168,,,New Construction,,,,
800022023,VAA2006792,1094496,97604280-e168-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2006,01/01/2036,100,PETERSBURG EAST I,110 CROATAN DR,PETERSBURG,VA,23803,-77.36473,37.239379,HERITAGE PROPERTY MGMT INC,,,,16,48,36,Family,,,,100,,,Acquisition and Rehab,,,,
800022024,VAA2005185,1094539,6cc2c839-e268-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2005,01/01/2035,68,PETERSBURG EAST II,2376 NAVAJO CT,PETERSBURG,VA,23803,-77.362586,37.237247,HERITAGE PROPERTY MGMT INC,,,,,,,Family,,,,68,,,Acquisition and Rehab,,,,
,VAA1995130,1094788,68439180-d1ff-e611-8115-74d435edc0c2,Active,LIHTC,9% Tax Credit,01/01/1995,01/01/2025,144,PINETREE,3100 PINETREE DR,PETERSBURG,VA,23803,-77.34024,37.205566,PINETREE ASSOC OF VA LP,For Profit,,,4,136,4,Family,,,,144,,,New Construction,,,,
,VAA1991090,1094700,86cd967a-d1ff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1991,01/01/2021,14,ST MARK STREET PROJECT,32 ST MARKS ST,PETERSBURG,VA,23803,-77.400222,37.213397,L S JEFFERSON PROPERTIES INC,For Profit,,,,,14,,,,,14,,Missing from Subsequent Updates,New Construction,,,,
