jurisdiction,state,type,priority
New Baden village, Illinois,Place,Yes
New Bedford village, Illinois,Place,No
New Berlin village, Illinois,Place,No
New Boston city, Illinois,Place,No
New Burnside village, Illinois,Place,No
New Canton town, Illinois,Place,No
New Douglas village, Illinois,Place,No
New Grand Chain village, Illinois,Place,No
New Haven village, Illinois,Place,Yes
New Holland village, Illinois,Place,Yes
New Lenox village, Illinois,Place,No
Newman city, Illinois,Place,No
New Milford village, Illinois,Place,No
New Minden village, Illinois,Place,No
New Salem village, Illinois,Place,Yes
Newton city, Illinois,Place,No
Niantic village, Illinois,Place,No
Niles village, Illinois,Place,No
Nilwood town, Illinois,Place,No
Noble village, Illinois,Place,Yes
Nokomis city, Illinois,Place,No
Nora village, Illinois,Place,Yes
Normal town, Illinois,Place,No
Norridge village, Illinois,Place,Yes
Norris village, Illinois,Place,No
Norris City village, Illinois,Place,No
North Aurora village, Illinois,Place,No
North Barrington village, Illinois,Place,Yes
Northbrook village, Illinois,Place,Yes
North Chicago city, Illinois,Place,No
North City village, Illinois,Place,No
Northfield village, Illinois,Place,Yes
North Henderson village, Illinois,Place,Yes
Northlake city, Illinois,Place,No
North Pekin village, Illinois,Place,No
North Riverside village, Illinois,Place,No
North Utica village, Illinois,Place,Yes
Norwood village, Illinois,Place,Yes
Oak Brook village, Illinois,Place,Yes
Oakbrook Terrace city, Illinois,Place,Yes
Oakdale village, Illinois,Place,No
Oakford village, Illinois,Place,No
Oak Forest city, Illinois,Place,No
Oak Grove village, Illinois,Place,Yes
Oakland city, Illinois,Place,Yes
Oak Lawn village, Illinois,Place,No
Oak Park village, Illinois,Place,No
Oak Run CDP, Illinois,Place,Yes
Oakwood village, Illinois,Place,Yes
Oakwood Hills village, Illinois,Place,No
Oblong village, Illinois,Place,No
Oconee village, Illinois,Place,No
Odell village, Illinois,Place,No
Odin village, Illinois,Place,No
O'Fallon city, Illinois,Place,No
Ogden village, Illinois,Place,No
Oglesby city, Illinois,Place,Yes
Ohio village, Illinois,Place,No
Ohlman village, Illinois,Place,Yes
Okawville village, Illinois,Place,Yes
Old Mill Creek village, Illinois,Place,No
Old Ripley village, Illinois,Place,No
Old Shawneetown village, Illinois,Place,No
Olive Branch CDP, Illinois,Place,No
Olivet CDP, Illinois,Place,No
Olmsted village, Illinois,Place,Yes
Olney city, Illinois,Place,No
Olympia Fields village, Illinois,Place,Yes
Omaha village, Illinois,Place,No
Onarga village, Illinois,Place,No
Oneida city, Illinois,Place,No
Opdyke CDP, Illinois,Place,No
Oquawka village, Illinois,Place,Yes
Orangeville village, Illinois,Place,No
Oreana village, Illinois,Place,No
Oregon city, Illinois,Place,No
Orient city, Illinois,Place,No
Orion village, Illinois,Place,No
Orland Hills village, Illinois,Place,No
Orland Park village, Illinois,Place,No
Oswego village, Illinois,Place,No
Ottawa city, Illinois,Place,No
Otterville town, Illinois,Place,Yes
Owaneco village, Illinois,Place,Yes
Paderborn CDP, Illinois,Place,No
Palatine village, Illinois,Place,No
Palestine village, Illinois,Place,No
Palmer village, Illinois,Place,Yes
Palmyra village, Illinois,Place,No
Palos Heights city, Illinois,Place,No
Palos Hills city, Illinois,Place,No
Palos Park village, Illinois,Place,Yes
Pana city, Illinois,Place,No
Panama village, Illinois,Place,Yes
Panola village, Illinois,Place,Yes
Papineau village, Illinois,Place,No
Paris city, Illinois,Place,No
Park City city, Illinois,Place,No
Parkersburg village, Illinois,Place,No
Park Forest village, Illinois,Place,No
Park Ridge city, Illinois,Place,Yes
Patoka village, Illinois,Place,Yes
Pawnee village, Illinois,Place,No
Paw Paw village, Illinois,Place,No
Paxton city, Illinois,Place,No
Payson village, Illinois,Place,Yes
Pearl village, Illinois,Place,No
Pearl City village, Illinois,Place,No
Pecatonica village, Illinois,Place,No
Pekin city, Illinois,Place,No
Penfield CDP, Illinois,Place,No
Peoria city, Illinois,Place,No
Peoria Heights village, Illinois,Place,No
Peotone village, Illinois,Place,No
Percy village, Illinois,Place,No
Perry village, Illinois,Place,No
Peru city, Illinois,Place,No
Pesotum village, Illinois,Place,Yes
Petersburg city, Illinois,Place,No
Phillipstown village, Illinois,Place,No
Philo village, Illinois,Place,No
Phoenix village, Illinois,Place,No
Pierron village, Illinois,Place,Yes
Pinckneyville city, Illinois,Place,No
Pingree Grove village, Illinois,Place,No
Piper City village, Illinois,Place,Yes
Pistakee Highlands CDP, Illinois,Place,No
Pittsburg village, Illinois,Place,No
Pittsfield city, Illinois,Place,No
Plainfield village, Illinois,Place,Yes
Plainville village, Illinois,Place,No
Plano city, Illinois,Place,No
Plattville village, Illinois,Place,Yes
Pleasant Hill village, Illinois,Place,No
Pleasant Plains village, Illinois,Place,No
Plymouth village, Illinois,Place,Yes
Pocahontas village, Illinois,Place,No
Polo city, Illinois,Place,No
Pontiac city, Illinois,Place,No
Pontoon Beach village, Illinois,Place,No
Pontoosuc village, Illinois,Place,No
Poplar Grove village, Illinois,Place,No
Port Barrington village, Illinois,Place,Yes
Port Byron village, Illinois,Place,No
Posen village, Illinois,Place,No
Potomac village, Illinois,Place,Yes
Prairie City village, Illinois,Place,No
Prairie du Rocher village, Illinois,Place,No
Prairie Grove village, Illinois,Place,Yes
Prestbury CDP, Illinois,Place,No
Preston Heights CDP, Illinois,Place,No
Princeton city, Illinois,Place,No
Princeville village, Illinois,Place,No
Prophetstown city, Illinois,Place,No
Prospect Heights city, Illinois,Place,No
Pulaski village, Illinois,Place,Yes
Quincy city, Illinois,Place,No
Radom village, Illinois,Place,No
Raleigh village, Illinois,Place,No
Ramsey village, Illinois,Place,Yes
Rankin village, Illinois,Place,Yes
Ransom village, Illinois,Place,No
Rantoul village, Illinois,Place,No
Rapids City village, Illinois,Place,No
Raritan village, Illinois,Place,Yes
Raymond village, Illinois,Place,No
Red Bud city, Illinois,Place,No
Reddick village, Illinois,Place,No
Redmon village, Illinois,Place,No
Rentchler CDP, Illinois,Place,No
Reynolds village, Illinois,Place,Yes
Richmond village, Illinois,Place,No
Richton Park village, Illinois,Place,No
Richview village, Illinois,Place,Yes
Ridge Farm village, Illinois,Place,No
Ridgway village, Illinois,Place,No
Ridott village, Illinois,Place,No
Ringwood village, Illinois,Place,No
Rio village, Illinois,Place,No
Ripley village, Illinois,Place,No
Riverdale village, Illinois,Place,No
River Forest village, Illinois,Place,Yes
River Grove village, Illinois,Place,No
Riverside village, Illinois,Place,Yes
Riverton village, Illinois,Place,No
Riverwoods village, Illinois,Place,Yes
Roanoke village, Illinois,Place,No
Robbins village, Illinois,Place,No
Roberts village, Illinois,Place,No
Robinson city, Illinois,Place,Yes
Rochelle city, Illinois,Place,No
Rochester village, Illinois,Place,No
Rockbridge village, Illinois,Place,Yes
Rock City village, Illinois,Place,No
Rockdale village, Illinois,Place,No
Rock Falls city, Illinois,Place,No
Rockford city, Illinois,Place,No
Rock Island city, Illinois,Place,No
Rock Island Arsenal CDP, Illinois,Place,No
Rockton village, Illinois,Place,No
Rockwood village, Illinois,Place,No
Rolling Meadows city, Illinois,Place,No
Rome CDP, Illinois,Place,No
Romeoville village, Illinois,Place,No
Roodhouse city, Illinois,Place,No
Roscoe village, Illinois,Place,Yes
Rose Hill village, Illinois,Place,No
Roselle village, Illinois,Place,No
Rosemont village, Illinois,Place,Yes
Roseville village, Illinois,Place,No
Rosewood Heights CDP, Illinois,Place,No
Rosiclare city, Illinois,Place,No
Rossville village, Illinois,Place,No
Round Lake village, Illinois,Place,No
Round Lake Beach village, Illinois,Place,No
Round Lake Heights village, Illinois,Place,No
Round Lake Park village, Illinois,Place,No
Roxana village, Illinois,Place,No
Royal village, Illinois,Place,Yes
Royal Lakes village, Illinois,Place,No
Royalton village, Illinois,Place,No
Ruma village, Illinois,Place,No
Rushville city, Illinois,Place,No
Russellville village, Illinois,Place,Yes
Rutland village, Illinois,Place,No
Sadorus village, Illinois,Place,No
Sailor Springs village, Illinois,Place,No
St. Anne village, Illinois,Place,Yes
St. Augustine village, Illinois,Place,Yes
St. Charles city, Illinois,Place,Yes
St. David village, Illinois,Place,No
St. Elmo city, Illinois,Place,No
Ste. Marie village, Illinois,Place,Yes
St. Francisville city, Illinois,Place,No
St. Jacob village, Illinois,Place,No
St. Johns village, Illinois,Place,No
St. Joseph village, Illinois,Place,No
St. Libory village, Illinois,Place,No
St. Peter village, Illinois,Place,Yes
St. Rose village, Illinois,Place,No
Salem city, Illinois,Place,No
Sammons Point village, Illinois,Place,Yes
Sandoval village, Illinois,Place,No
Sandwich city, Illinois,Place,No
San Jose village, Illinois,Place,Yes
Sauget village, Illinois,Place,No
Sauk Village village, Illinois,Place,Yes
Saunemin village, Illinois,Place,No
Savanna city, Illinois,Place,No
Savoy village, Illinois,Place,No
Sawyerville village, Illinois,Place,No
Saybrook village, Illinois,Place,Yes
Scales Mound village, Illinois,Place,Yes
Schaumburg village, Illinois,Place,No
Schiller Park village, Illinois,Place,No
Schram City village, Illinois,Place,No
Sciota village, Illinois,Place,No
Scott AFB CDP, Illinois,Place,No
Scottville village, Illinois,Place,No
Seaton village, Illinois,Place,No
Seatonville village, Illinois,Place,No
Secor village, Illinois,Place,No
Seneca village, Illinois,Place,No
Sesser city, Illinois,Place,Yes
Seymour CDP, Illinois,Place,No
Shabbona village, Illinois,Place,No
Shannon village, Illinois,Place,No
Shawneetown city, Illinois,Place,Yes
Sheffield village, Illinois,Place,No
Shelbyville city, Illinois,Place,No
Sheldon village, Illinois,Place,Yes
Sheridan village, Illinois,Place,Yes
Sherman village, Illinois,Place,No
Sherrard village, Illinois,Place,Yes
Shiloh village, Illinois,Place,No
Shipman town, Illinois,Place,No
Shorewood village, Illinois,Place,No
Shumway village, Illinois,Place,No
Sibley village, Illinois,Place,No
Sidell village, Illinois,Place,Yes
Sidney village, Illinois,Place,Yes
Sigel town, Illinois,Place,Yes
Silvis city, Illinois,Place,Yes
Simpson village, Illinois,Place,Yes
Sims village, Illinois,Place,No
Skokie village, Illinois,Place,No
Sleepy Hollow village, Illinois,Place,Yes
Smithboro village, Illinois,Place,Yes
Smithfield village, Illinois,Place,No
Smithton village, Illinois,Place,No
Somonauk village, Illinois,Place,No
Sorento village, Illinois,Place,No
South Barrington village, Illinois,Place,Yes
South Beloit city, Illinois,Place,No
South Chicago Heights village, Illinois,Place,No
South Elgin village, Illinois,Place,No
Southern View village, Illinois,Place,No
South Holland village, Illinois,Place,No
South Jacksonville village, Illinois,Place,No
South Pekin village, Illinois,Place,No
South Roxana village, Illinois,Place,No
South Wilmington village, Illinois,Place,No
Sparland village, Illinois,Place,Yes
Sparta city, Illinois,Place,Yes
Spaulding village, Illinois,Place,Yes
Spillertown village, Illinois,Place,Yes
Spring Bay village, Illinois,Place,No
Springerton village, Illinois,Place,Yes
Springfield city, Illinois,Place,No
Spring Grove village, Illinois,Place,No
Spring Valley city, Illinois,Place,No
Standard village, Illinois,Place,No
Standard City village, Illinois,Place,Yes
Stanford village, Illinois,Place,No
Staunton city, Illinois,Place,No
Steeleville village, Illinois,Place,Yes
Steger village, Illinois,Place,No
Sterling city, Illinois,Place,No
Steward village, Illinois,Place,No
Stewardson village, Illinois,Place,No
Stickney village, Illinois,Place,No
Stillman Valley village, Illinois,Place,No
Stockton village, Illinois,Place,Yes
Stonefort village, Illinois,Place,Yes
Stone Park village, Illinois,Place,No
Stonington village, Illinois,Place,Yes
Stoy village, Illinois,Place,Yes
Strasburg village, Illinois,Place,No
Strawn village, Illinois,Place,No
Streamwood village, Illinois,Place,No
Streator city, Illinois,Place,No
Stronghurst village, Illinois,Place,No
Sublette village, Illinois,Place,No
Sugar Grove village, Illinois,Place,No
Sullivan city, Illinois,Place,Yes
Summerfield village, Illinois,Place,No
Summit village, Illinois,Place,No
Sumner city, Illinois,Place,Yes
Sun River Terrace village, Illinois,Place,Yes
Swansea village, Illinois,Place,No
Sycamore city, Illinois,Place,No
Symerton village, Illinois,Place,No
Table Grove village, Illinois,Place,No
Tallula village, Illinois,Place,Yes
Tamaroa village, Illinois,Place,No
Tamms village, Illinois,Place,No
Tampico village, Illinois,Place,Yes
Taylor Springs village, Illinois,Place,No
Taylorville city, Illinois,Place,No
Tennessee village, Illinois,Place,No
Teutopolis village, Illinois,Place,No
Thawville village, Illinois,Place,Yes
Thayer village, Illinois,Place,No
Thebes village, Illinois,Place,Yes
The Galena Territory CDP, Illinois,Place,Yes
Third Lake village, Illinois,Place,No
Thomasboro village, Illinois,Place,No
Thompsonville village, Illinois,Place,No
Thomson village, Illinois,Place,No
Thornton village, Illinois,Place,No
Tilden village, Illinois,Place,Yes
Tilton village, Illinois,Place,No
Timberlane village, Illinois,Place,Yes
Time village, Illinois,Place,No
Tinley Park village, Illinois,Place,No
Tiskilwa village, Illinois,Place,No
Toledo village, Illinois,Place,Yes
Tolono village, Illinois,Place,Yes
Toluca city, Illinois,Place,No
Tonica village, Illinois,Place,No
Topeka village, Illinois,Place,Yes
Toulon city, Illinois,Place,No
Tovey village, Illinois,Place,No
Towanda village, Illinois,Place,No
Tower Hill village, Illinois,Place,Yes
Tower Lakes village, Illinois,Place,Yes
Tremont village, Illinois,Place,No
Trenton city, Illinois,Place,No
Trout Valley village, Illinois,Place,Yes
Troy city, Illinois,Place,No
Troy Grove village, Illinois,Place,Yes
Tuscola city, Illinois,Place,No
Twin Grove CDP, Illinois,Place,Yes
Ullin village, Illinois,Place,Yes
Union village, Illinois,Place,No
Union Hill village, Illinois,Place,No
University Park village, Illinois,Place,No
Urbana city, Illinois,Place,No
Ursa village, Illinois,Place,Yes
Valier village, Illinois,Place,No
Valley City village, Illinois,Place,No
Valmeyer village, Illinois,Place,No
Vandalia city, Illinois,Place,No
Varna village, Illinois,Place,No
Venedy village, Illinois,Place,Yes
Venetian Village CDP, Illinois,Place,No
Venice city, Illinois,Place,No
Vergennes village, Illinois,Place,No
Vermilion village, Illinois,Place,No
Vermont village, Illinois,Place,Yes
Vernon village, Illinois,Place,No
Vernon Hills village, Illinois,Place,Yes
Verona village, Illinois,Place,No
Versailles village, Illinois,Place,No
Victoria village, Illinois,Place,No
Vienna city, Illinois,Place,No
Villa Grove city, Illinois,Place,No
Villa Park village, Illinois,Place,No
Viola village, Illinois,Place,No
Virden city, Illinois,Place,No
Virgil village, Illinois,Place,No
Virginia city, Illinois,Place,No
Volo village, Illinois,Place,Yes
Wadsworth village, Illinois,Place,Yes
Waggoner village, Illinois,Place,No
Walnut village, Illinois,Place,No
Walnut Hill village, Illinois,Place,No
Walshville village, Illinois,Place,Yes
Waltonville village, Illinois,Place,No
Wamac city, Illinois,Place,No
Wapella village, Illinois,Place,No
Warren village, Illinois,Place,No
Warrensburg village, Illinois,Place,No
Warrenville city, Illinois,Place,No
Warsaw city, Illinois,Place,No
Washburn village, Illinois,Place,No
Washington city, Illinois,Place,No
Washington Park village, Illinois,Place,No
Wataga village, Illinois,Place,Yes
Waterloo city, Illinois,Place,No
Waterman village, Illinois,Place,Yes
Watseka city, Illinois,Place,No
Watson village, Illinois,Place,No
Wauconda village, Illinois,Place,No
Waukegan city, Illinois,Place,No
Waverly city, Illinois,Place,Yes
Wayne village, Illinois,Place,Yes
Wayne City village, Illinois,Place,Yes
Waynesville village, Illinois,Place,Yes
Weldon village, Illinois,Place,No
Wellington village, Illinois,Place,No
Wenona city, Illinois,Place,No
Wenonah village, Illinois,Place,Yes
West Brooklyn village, Illinois,Place,Yes
Westchester village, Illinois,Place,No
West Chicago city, Illinois,Place,No
West City village, Illinois,Place,Yes
West Dundee village, Illinois,Place,Yes
Western Springs village, Illinois,Place,Yes
Westervelt CDP, Illinois,Place,No
Westfield village, Illinois,Place,No
West Frankfort city, Illinois,Place,No
Westmont village, Illinois,Place,No
West Peoria city, Illinois,Place,No
West Point village, Illinois,Place,Yes
West Salem village, Illinois,Place,No
West Union CDP, Illinois,Place,No
Westville village, Illinois,Place,No
West York CDP, Illinois,Place,Yes
Wheaton city, Illinois,Place,No
Wheeler village, Illinois,Place,Yes
Wheeling village, Illinois,Place,No
Whiteash CDP, Illinois,Place,No
White City village, Illinois,Place,Yes
White Hall city, Illinois,Place,Yes
White Heath CDP, Illinois,Place,No
Williamsfield village, Illinois,Place,No
Williamson village, Illinois,Place,Yes
Williamsville village, Illinois,Place,No
Willisville village, Illinois,Place,Yes
Willowbrook village, Illinois,Place,No
Willowbrook CDP, Illinois,Place,No
Willow Hill village, Illinois,Place,No
Willow Springs village, Illinois,Place,Yes
Wilmette village, Illinois,Place,Yes
Wilmington village, Illinois,Place,No
Wilmington city, Illinois,Place,No
Wilsonville village, Illinois,Place,No
Winchester city, Illinois,Place,Yes
Windsor village, Illinois,Place,No
Windsor city, Illinois,Place,No
Winfield village, Illinois,Place,No
Winnebago village, Illinois,Place,No
Winnetka village, Illinois,Place,Yes
Winslow village, Illinois,Place,No
Winthrop Harbor village, Illinois,Place,No
Witt city, Illinois,Place,No
Wonder Lake village, Illinois,Place,No
Wood Dale city, Illinois,Place,No
Woodhull village, Illinois,Place,No
Woodland village, Illinois,Place,Yes
Woodlawn village, Illinois,Place,Yes
Woodridge village, Illinois,Place,No
Wood River city, Illinois,Place,No
Woodson village, Illinois,Place,No
Woodstock city, Illinois,Place,No
Worden village, Illinois,Place,No
Worth village, Illinois,Place,No
Wyanet village, Illinois,Place,No
Wyoming city, Illinois,Place,No
Xenia village, Illinois,Place,No
Yale village, Illinois,Place,No
Yates City village, Illinois,Place,No
Yorkville city, Illinois,Place,No
Zeigler city, Illinois,Place,Yes
Zion city, Illinois,Place,No
Aberdeen CDP, Indiana,Place,Yes
Advance town, Indiana,Place,No
Akron town, Indiana,Place,Yes
Alamo town, Indiana,Place,Yes
Albany town, Indiana,Place,No
Albion town, Indiana,Place,Yes
Alexandria city, Indiana,Place,Yes
Alfordsville town, Indiana,Place,No
Alton town, Indiana,Place,No
Altona town, Indiana,Place,Yes
Ambia town, Indiana,Place,Yes
Amboy town, Indiana,Place,Yes
Americus CDP, Indiana,Place,No
Amo town, Indiana,Place,No
Anderson city, Indiana,Place,No
Andrews town, Indiana,Place,No
Angola city, Indiana,Place,Yes
Arcadia town, Indiana,Place,No
Argos town, Indiana,Place,Yes
Arlington CDP, Indiana,Place,No
Ashley town, Indiana,Place,Yes
Atlanta town, Indiana,Place,Yes
Attica city, Indiana,Place,Yes
Auburn city, Indiana,Place,Yes
Aurora city, Indiana,Place,No
Austin city, Indiana,Place,No
Avilla town, Indiana,Place,Yes
Avoca CDP, Indiana,Place,Yes
Avon town, Indiana,Place,Yes
Bainbridge town, Indiana,Place,No
Bargersville town, Indiana,Place,Yes
Bass Lake CDP, Indiana,Place,Yes
Batesville city, Indiana,Place,No
Battle Ground town, Indiana,Place,Yes
Bedford city, Indiana,Place,No
Beech Grove city, Indiana,Place,No
Berne city, Indiana,Place,No
Bethany town, Indiana,Place,No
Beverly Shores town, Indiana,Place,Yes
Bicknell city, Indiana,Place,No
Birdseye town, Indiana,Place,No
Blanford CDP, Indiana,Place,No
Bloomfield town, Indiana,Place,No
Bloomingdale town, Indiana,Place,Yes
Bloomington city, Indiana,Place,Yes
Blountsville town, Indiana,Place,No
Bluffton city, Indiana,Place,Yes
Boonville city, Indiana,Place,No
Borden town, Indiana,Place,No
Boston town, Indiana,Place,No
Boswell town, Indiana,Place,No
Bourbon town, Indiana,Place,Yes
Brazil city, Indiana,Place,Yes
Bremen town, Indiana,Place,No
Bright CDP, Indiana,Place,No
Bristol town, Indiana,Place,No
Brook town, Indiana,Place,No
Brooklyn town, Indiana,Place,No
Brooksburg town, Indiana,Place,Yes
Brookston town, Indiana,Place,No
Brookville town, Indiana,Place,No
Brownsburg town, Indiana,Place,No
Brownstown town, Indiana,Place,No
Bruceville town, Indiana,Place,No
Bryant town, Indiana,Place,Yes
Buck Creek CDP, Indiana,Place,No
Buffalo CDP, Indiana,Place,Yes
Bunker Hill town, Indiana,Place,No
Burket town, Indiana,Place,No
Burlington town, Indiana,Place,No
Burnettsville town, Indiana,Place,Yes
Burns City CDP, Indiana,Place,No
Burns Harbor town, Indiana,Place,Yes
Butler city, Indiana,Place,Yes
Butlerville CDP, Indiana,Place,No
Cadiz town, Indiana,Place,Yes
Cambridge City town, Indiana,Place,No
Camden town, Indiana,Place,No
Campbellsburg town, Indiana,Place,Yes
Canaan CDP, Indiana,Place,No
Cannelburg town, Indiana,Place,Yes
Cannelton city, Indiana,Place,No
Carbon town, Indiana,Place,No
Carlisle town, Indiana,Place,No
Carmel city, Indiana,Place,No
Carthage town, Indiana,Place,No
Cayuga town, Indiana,Place,Yes
Cedar Grove town, Indiana,Place,Yes
Cedar Lake town, Indiana,Place,No
Center Point town, Indiana,Place,No
Centerville town, Indiana,Place,No
Chalmers town, Indiana,Place,No
Chandler town, Indiana,Place,No
Charlestown city, Indiana,Place,No
Chesterfield town, Indiana,Place,No
Chesterton town, Indiana,Place,Yes
Chrisney town, Indiana,Place,Yes
Churubusco town, Indiana,Place,No
Cicero town, Indiana,Place,No
Clarksburg CDP, Indiana,Place,No
Clarks Hill town, Indiana,Place,No
Clarksville town, Indiana,Place,No
Clay City town, Indiana,Place,No
Claypool town, Indiana,Place,No
Clayton town, Indiana,Place,No
Clear Lake town, Indiana,Place,Yes
Clermont town, Indiana,Place,No
Clifford town, Indiana,Place,Yes
Clinton city, Indiana,Place,No
Cloverdale town, Indiana,Place,Yes
Coalmont CDP, Indiana,Place,No
Coatesville town, Indiana,Place,No
Colburn CDP, Indiana,Place,No
Colfax town, Indiana,Place,No
Collegeville CDP, Indiana,Place,No
Columbia City city, Indiana,Place,Yes
Columbus city, Indiana,Place,No
Connersville city, Indiana,Place,No
Converse town, Indiana,Place,No
Cordry Sweetwater Lakes CDP, Indiana,Place,Yes
Corunna town, Indiana,Place,Yes
Corydon town, Indiana,Place,Yes
Country Club Heights town, Indiana,Place,Yes
Country Squire Lakes CDP, Indiana,Place,No
Covington city, Indiana,Place,No
Crandall town, Indiana,Place,No
Crane town, Indiana,Place,No
Crawfordsville city, Indiana,Place,Yes
Cromwell town, Indiana,Place,Yes
Crothersville town, Indiana,Place,Yes
Crown Point city, Indiana,Place,Yes
Crows Nest town, Indiana,Place,Yes
Culver town, Indiana,Place,No
Cumberland town, Indiana,Place,Yes
Cynthiana town, Indiana,Place,No
Dale town, Indiana,Place,No
Daleville town, Indiana,Place,No
Dana town, Indiana,Place,No
Danville town, Indiana,Place,Yes
Darlington town, Indiana,Place,No
Darmstadt town, Indiana,Place,No
Dayton town, Indiana,Place,No
Decatur city, Indiana,Place,No
Decker town, Indiana,Place,Yes
Delphi city, Indiana,Place,No
De Motte town, Indiana,Place,Yes
Denver town, Indiana,Place,No
Deputy CDP, Indiana,Place,No
Dillsboro town, Indiana,Place,No
Dover Hill CDP, Indiana,Place,No
Dresser CDP, Indiana,Place,No
Dublin town, Indiana,Place,No
Dubois CDP, Indiana,Place,Yes
Dugger town, Indiana,Place,No
Dune Acres town, Indiana,Place,Yes
Dunkirk city, Indiana,Place,No
Dunlap CDP, Indiana,Place,Yes
Dunreith town, Indiana,Place,No
Dupont town, Indiana,Place,No
Dyer town, Indiana,Place,Yes
Earl Park town, Indiana,Place,No
East Chicago city, Indiana,Place,No
East Enterprise CDP, Indiana,Place,No
East Germantown town, Indiana,Place,Yes
Eaton town, Indiana,Place,Yes
Economy town, Indiana,Place,No
Edgewood town, Indiana,Place,No
Edinburgh town, Indiana,Place,Yes
Edwardsport town, Indiana,Place,No
Elberfeld town, Indiana,Place,Yes
Elizabeth town, Indiana,Place,No
Elizabethtown town, Indiana,Place,Yes
Elkhart city, Indiana,Place,No
Ellettsville town, Indiana,Place,No
Elnora town, Indiana,Place,No
Elwood city, Indiana,Place,No
Emison CDP, Indiana,Place,No
English town, Indiana,Place,Yes
Etna Green town, Indiana,Place,Yes
Evansville city, Indiana,Place,No
Fairland town, Indiana,Place,No
Fairmount town, Indiana,Place,No
Fairview Park town, Indiana,Place,No
Farmersburg town, Indiana,Place,No
Farmland town, Indiana,Place,No
Ferdinand town, Indiana,Place,No
Fillmore town, Indiana,Place,No
Fishers city, Indiana,Place,No
Fish Lake CDP, Indiana,Place,No
Flora town, Indiana,Place,Yes
Florence CDP, Indiana,Place,No
Fontanet CDP, Indiana,Place,Yes
Fort Branch town, Indiana,Place,No
Fortville town, Indiana,Place,Yes
Fort Wayne city, Indiana,Place,No
Fountain City town, Indiana,Place,No
Fowler town, Indiana,Place,No
Fowlerton town, Indiana,Place,No
Francesville town, Indiana,Place,Yes
Francisco town, Indiana,Place,Yes
Frankfort city, Indiana,Place,No
Franklin city, Indiana,Place,No
Frankton town, Indiana,Place,No
Fredericksburg CDP, Indiana,Place,No
Freelandville CDP, Indiana,Place,No
Freetown CDP, Indiana,Place,Yes
Fremont town, Indiana,Place,No
French Lick town, Indiana,Place,No
Fulton town, Indiana,Place,No
Galena CDP, Indiana,Place,No
Galveston town, Indiana,Place,No
Garrett city, Indiana,Place,Yes
Gary city, Indiana,Place,No
Gas City city, Indiana,Place,No
Gaston town, Indiana,Place,No
Geneva town, Indiana,Place,Yes
Gentryville town, Indiana,Place,No
Georgetown town, Indiana,Place,No
Glenwood town, Indiana,Place,No
Goodland town, Indiana,Place,No
Goshen city, Indiana,Place,No
Gosport town, Indiana,Place,No
Grabill town, Indiana,Place,Yes
Grandview town, Indiana,Place,Yes
Granger CDP, Indiana,Place,No
Greencastle city, Indiana,Place,No
Greendale city, Indiana,Place,No
Greenfield city, Indiana,Place,No
Greensboro town, Indiana,Place,Yes
Greensburg city, Indiana,Place,No
Greens Fork town, Indiana,Place,Yes
Greentown town, Indiana,Place,Yes
Greenville town, Indiana,Place,Yes
Greenwood city, Indiana,Place,No
Griffin town, Indiana,Place,No
Griffith town, Indiana,Place,No
Grissom AFB CDP, Indiana,Place,Yes
Hagerstown town, Indiana,Place,No
Hamilton town, Indiana,Place,Yes
Hamlet town, Indiana,Place,No
Hammond city, Indiana,Place,No
Hanna CDP, Indiana,Place,No
Hanover town, Indiana,Place,Yes
Hardinsburg town, Indiana,Place,No
Harlan CDP, Indiana,Place,No
Harmony town, Indiana,Place,Yes
Harrodsburg CDP, Indiana,Place,No
Hartford City city, Indiana,Place,No
Hartsville town, Indiana,Place,No
Hatfield CDP, Indiana,Place,No
Haubstadt town, Indiana,Place,No
Hayden CDP, Indiana,Place,No
Hazleton town, Indiana,Place,No
Hebron town, Indiana,Place,No
Henryville CDP, Indiana,Place,No
Herbst CDP, Indiana,Place,No
Heritage Lake CDP, Indiana,Place,No
Hidden Valley CDP, Indiana,Place,No
Highland town, Indiana,Place,No
Highland CDP, Indiana,Place,No
Hillsboro town, Indiana,Place,No
Hoagland CDP, Indiana,Place,No
Hobart city, Indiana,Place,No
Holland town, Indiana,Place,Yes
Holton town, Indiana,Place,Yes
Homecroft town, Indiana,Place,No
Hope town, Indiana,Place,No
Howe CDP, Indiana,Place,No
Hudson town, Indiana,Place,Yes
Hudson Lake CDP, Indiana,Place,No
Huntertown town, Indiana,Place,No
Huntingburg city, Indiana,Place,No
Huntington city, Indiana,Place,No
Hymera town, Indiana,Place,No
Idaville CDP, Indiana,Place,No
Indianapolis city (balance), Indiana,Place,No
Indian Village town, Indiana,Place,Yes
Ingalls town, Indiana,Place,No
Jalapa CDP, Indiana,Place,No
Jamestown town, Indiana,Place,Yes
Jasonville city, Indiana,Place,Yes
Jasper city, Indiana,Place,No
Jeffersonville city, Indiana,Place,No
Jonesboro city, Indiana,Place,No
Jonesville town, Indiana,Place,No
Kempton town, Indiana,Place,Yes
Kendallville city, Indiana,Place,No
Kennard town, Indiana,Place,Yes
Kent CDP, Indiana,Place,No
Kentland town, Indiana,Place,No
Kewanna town, Indiana,Place,No
Kimmell CDP, Indiana,Place,No
Kingman town, Indiana,Place,No
Kingsbury town, Indiana,Place,No
